centroid,danceability,energy,loudness,speechiness,    acousticness,instrumental,liveness,valence,tempo
0,0.84072,0.51588,0.57628,0.27867,0.090282,0,0.068966,0.24894,0.3822
0,0.7302,0.46287,0.76444,0.29275,0.0068107,0,0.42188,0.027855,0.87557
0,0.7302,0.49788,0.70974,0.37723,0.13765,0,0.085133,0.21902,0.50455
0,0.71503,0.5779,0.6861,0.068992,0.026214,0.0001183,0.38504,0.042092,0.44352
0,0.69227,0.83796,0.80304,0.28951,0.086436,0,0.093421,0.33973,0.38133
0,0.88406,0.44487,0.64449,0.091303,0.0021143,0.06542,0.1057,0.019808,0.41279
0,0.92524,0.49288,0.67243,0.041807,0.1417,1.638e-06,0.11389,0.14474,0.97451
0,0.75512,0.40986,0.58562,0.035092,0.28138,3.4681e-05,0.1497,0.064583,0.87558
0,0.93824,0.27282,0.59263,0.16603,0.0095738,0,0.12923,0.042918,0.38189
0,0.83422,0.55889,0.7599,0.010831,0.0017904,5.5612e-05,0.10775,0.25616,0.46257
0,0.70528,0.74494,0.73916,0.31983,0.21862,0,0.094444,0.080883,0.92462
0,0.71286,0.45887,0.63274,0.23427,0.00097058,0,0.10161,0.30362,0.5052
0,0.84939,0.73594,0.7313,0.13463,0.0049888,0,0.06651,0.26029,0.55406
0,0.75512,0.50888,0.71231,0.043756,0.1498,0,0.14765,0.049933,0.38249
0,0.84072,0.5759,0.70577,0.1108,0.29251,0,0.09649,0.26751,0.82577
0,0.67169,0.40185,0.69254,0.054912,0.21053,0.020829,0.40039,0.091097,0.38165
0,0.60667,0.44987,0.64024,0.0090978,0.078542,0.00021941,0.10877,0.018054,0.78843
0,0.72478,0.72393,0.75905,0.26459,0.01346,0,0.24281,0.24482,0.69049
0,0.7237,0.65992,0.72557,0.022636,0.022165,0,0.14356,0.24791,0.49326
0,0.63268,0.53789,0.6455,0.07484,0.048886,0.40546,0.084007,0.34695,0.62904
0,0.60451,0.71593,0.70971,0.19961,0.22267,2.5683e-06,0.10468,0.19014,0.36315
0,0.79304,0.54189,0.71314,0.35016,0.018218,0,0.074798,0.30362,0.60309
0,0.73453,0.41086,0.71261,0.38265,0.25708,0,0.28783,0.33044,0.38027
0,0.80713,0.5849,0.721,0.28734,0.25101,0.011628,0.087179,0.27061,0.50517
0,0.65977,0.64591,0.65564,0.40864,0.11842,0,0.095467,0.20974,0.62875
0,0.60993,0.52989,0.64906,0.068017,0.061537,0,0.054743,0.19014,0.81347
0,0.87973,0.65492,0.76858,0.058702,0.0018309,0,0.086053,0.10348,0.43112
0,0.70853,0.70393,0.7705,0.07614,0.13968,0,0.0661,0.064067,0.33908
0,0.85047,0.45787,0.73234,0.19853,0.0049281,0,0.11389,0.41298,0.51767
0,0.6576,0.5739,0.78603,0.082963,0.030667,2.0425e-06,0.17323,0.090065,0.9122
0,0.4799,0.41686,0.67547,0.011697,0.02338,0.002093,0.12002,0.32838,0.83755
0,0.99675,0.52488,0.62238,0.17578,0.063865,0,0.10775,0.41917,0.38223
0,0.72911,0.71193,0.74193,0.072566,0.022873,0,0.068147,0.35005,0.56084
0,0.66085,0.5739,0.69281,0.035958,0.012246,1.1223e-05,0.09956,0.47797,0.47479
0,0.71503,0.55389,0.62175,0.068342,0.16498,4.0748e-06,0.48941,0.21902,0.38265
0,0.89381,0.42186,0.69752,0.097801,0.23785,0,0.0837,0.36655,0.44375
0,0.87864,0.51888,0.73486,0.13029,0.20445,0,0.09956,0.14371,0.81316
0,0.69769,0.36184,0.54242,0.2451,0.167,0.00013347,0.098537,0.45012,0.54247
0,0.76487,0.56589,0.76017,0.26135,0.09504,1.0819e-05,0.10058,0.22006,0.54294
0,0.7367,0.70293,0.63772,0.13679,0.034918,2.5683e-06,0.086258,0.39544,0.53576
0,0.71611,0.54889,0.71886,0.075598,0.0059402,3.6603e-05,0.34206,0.068916,0.49328
0,0.69661,0.42286,0.70604,0.035525,0.015788,0.00011426,0.12821,0.054163,0.41289
0,0.67494,0.65792,0.79995,0.050688,0.10627,1.911e-06,0.33183,0.26958,0.57455
0,0.96208,0.37985,0.77841,0.2581,0.0096852,0,0.119,0.11276,0.46804
0,0.69336,0.61891,0.75318,0.067475,0.14474,0,0.16914,0.46044,0.5425
0,0.77679,0.44887,0.62044,0.36965,0.27125,4.1557e-05,0.10263,0.33148,0.35786
0,0.72045,0.5809,0.75398,0.065093,0.029857,1.3145e-05,0.097514,0.35108,0.49292
0,0.6316,0.54289,0.66498,0.20611,0.12753,0,0.092397,0.17879,0.62813
0,0.45064,0.6039,0.74121,0.38373,0.15081,0,0.15481,0.24585,0.62906
0,0.83964,0.53889,0.7454,0.079931,0.042813,1.3549e-06,0.11593,0.052925,0.50547
0,0.91332,0.49888,0.70029,0.67075,0.27024,0,0.068863,0.098318,0.46205
0,0.7367,0.61691,0.71598,0.13138,0.17004,0,0.38709,0.17157,0.419
0,0.89056,0.62691,0.80036,0.026102,0.043319,0,0.10058,0.31703,0.42595
0,0.66735,0.6079,0.68634,0.059786,0.075404,6.4712e-05,0.09956,0.16125,0.62805
0,0.57417,0.53389,0.67415,0.31983,0.010728,0.0015875,0.098537,0.11895,0.64131
0,0.70961,0.42386,0.58603,0.39456,0.012347,0.01274,0.45257,0.21593,0.56704
0,0.55466,0.44687,0.75236,0.27543,0.0063451,0.00022245,0.08104,0.17569,0.55756
0,0.57417,0.64491,0.7803,0.092386,0.087651,1.7594e-05,0.15788,0.1922,0.4742
